Property Name,External URL,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Opportunity Zone
Dollar General Abs. NNN  3 Inc. in 2021  Near WMT,https://www.crexi.com/properties/488059/missouri-dollar-general#,On-Market,Retail,807 W Main St,Fredericktown,MO,63645,Single,15,5.3,9012,$136.22 ,,,"$92,070.00 ",7.50%,"$1,227,600.00 ",No
Dollar Tree Center,https://www.crexi.com/properties/520235/north-dakota-dollar-tree-center#,On-Market,Retail,1632 Bypass Rd,Wahpeton,ND,58075,Multi,,,15000,$131.67 ,2,,"$148,209.00 ",7.50%,"$1,975,000.00 ",No
Family Dollar - Dollar Tree Net Lease Investment,https://www.crexi.com/properties/530927/tennessee-family-dollar---dollar-tree-net-lease-investment#,On-Market,Retail,3499 Main St,Pikeville,TN,37367,Single,7.4,7.2,16447,$64.69 ,1,,"$74,448.00 ",7.00%,"$1,064,000.00 ",No
Family Dollar  Verizon,https://www.crexi.com/properties/319903/new-mexico-family-dollar-verizon#,On-Market,Retail,698 Roosevelt Ave,Grants,NM,87020,Multi,,3,13600,$88.82 ,,,"$99,682.00 ",8.25%,"$1,208,000.00 ",No
Dollar Tree  Pharmacy,https://www.crexi.com/properties/392858/tennessee-dollar-tree-pharmacy#,On-Market,Retail,2415 Fairview Blvd,Fairview,TN,37062,Multi,,7,13648,$146.54 ,,,"$134,999.00 ",6.75%,"$2,000,000.00 ",No
Corporate Guarantee Dollar Tree,https://www.crexi.com/properties/478399/south-carolina-corporate-guarantee-dollar-tree#,On-Market,Retail,2557 US-25,North Augusta,SC,29841,N/A,,,9960,,,,"$103,584.00 ",7.00%,"$1,479,771.00 ",No
"Family Dollar - McCamey, TX",https://www.crexi.com/properties/451976/texas-family-dollar---mccamey-tx#,On-Market,Retail,N Burleson Ave,McCamey,TX,79752,Single,11.2,10.2,9180,$158.71 ,1,,"$102,036.00 ",7.00%,"$1,457,000.00 ",No
Walgreens Dollar Deals Sublease,https://www.crexi.com/properties/520659/new-york-walgreens-dollar-deals-sublease#,On-Market,Retail,1402 Rockaway Pkwy,Brooklyn,NY,11236,Single,,7.2,7950,"$1,006.29 ",,,"$544,500.00 ",6.81%,"$8,000,000.00 ",No
"Family Dollar Store - Middleburg, PA",https://www.crexi.com/properties/111770/pennsylvania-middleburg-family-dollar-store#,On-Market,Retail,212 S Wausau Rd,Middleburg,PA,17842,Multi,,0,12800,$64.06 ,2,,"$79,000.00 ",10.50%,"$820,000.00 ",No
Family Dollar  New Lease Extension,https://www.crexi.com/properties/434459/north-carolina-family-dollar#,On-Market,Retail,980 U.S. Hwy 158 E,Sunbury,NC,27979,Single,14,5.1,8000,$123.50 ,,,"$79,000.00 ",8.00%,"$988,000.00 ",No
