NAME,GEO_ID,B19013_001E,B19013_001M,NAME,B19013_001EA,B19013_001MA,zip code tabulation area
85337,8600000US85337,30636,2728,85337,null,null,85337
85340,8600000US85340,85711,4241,85340,null,null,85340
85003,8600000US85003,47554,7221,85003,null,null,85003
85014,8600000US85014,46390,2922,85014,null,null,85014
85017,8600000US85017,29758,2102,85017,null,null,85017
85021,8600000US85021,40744,1848,85021,null,null,85021
85045,8600000US85045,134517,8350,85045,null,null,85045
85086,8600000US85086,94526,6192,85086,null,null,85086
85210,8600000US85210,39633,2438,85210,null,null,85210
85262,8600000US85262,115743,13053,85262,null,null,85262
85296,8600000US85296,86833,4012,85296,null,null,85296
85332,8600000US85332,39490,8859,85332,null,null,85332
85334,8600000US85334,29605,12813,85334,null,null,85334
85008,8600000US85008,37696,2066,85008,null,null,85008
85022,8600000US85022,51240,2912,85022,null,null,85022
85023,8600000US85023,55186,2199,85023,null,null,85023
85024,8600000US85024,75070,8266,85024,null,null,85024
85032,8600000US85032,51763,1832,85032,null,null,85032
85048,8600000US85048,101546,3879,85048,null,null,85048
85087,8600000US85087,68448,5236,85087,null,null,85087
85621,8600000US85621,28988,2529,85621,null,null,85621
85550,8600000US85550,35036,7739,85550,null,null,85550
85554,8600000US85554,37708,11654,85554,null,null,85554
88049,8600000US88049,-666666666,-222222222,88049,-,**,88049
88009,8600000US88009,-666666666,-222222222,88009,-,**,88009
88026,8600000US88026,25682,8441,88026,null,null,88026
88045,8600000US88045,31333,8016,88045,null,null,88045
88056,8600000US88056,23750,18022,88056,null,null,88056
88121,8600000US88121,38125,31723,88121,null,null,88121
88125,8600000US88125,-666666666,-222222222,88125,-,**,88125
88136,8600000US88136,105625,13060,88136,null,null,88136
88230,8600000US88230,38582,4826,88230,null,null,88230
88252,8600000US88252,53147,5231,88252,null,null,88252
88348,8600000US88348,23571,13745,88348,null,null,88348
88350,8600000US88350,21715,10973,88350,null,null,88350
88260,8600000US88260,54293,5905,88260,null,null,88260
88345,8600000US88345,42651,8057,88345,null,null,88345
88417,8600000US88417,-666666666,-222222222,88417,-,**,88417
88055,8600000US88055,-666666666,-222222222,88055,-,**,88055
88318,8600000US88318,56875,14611,88318,null,null,88318
88415,8600000US88415,37979,4535,88415,null,null,88415
88130,8600000US88130,35388,3236,88130,null,null,88130
88250,8600000US88250,-666666666,-222222222,88250,-,**,88250
88339,8600000US88339,52083,11215,88339,null,null,88339
88038,8600000US88038,50694,39261,88038,null,null,88038
88349,8600000US88349,-666666666,-222222222,88349,-,**,88349
88103,8600000US88103,-666666666,-222222222,88103,-,**,88103
88311,8600000US88311,40551,4135,88311,null,null,88311
88032,8600000US88032,46425,39045,88032,null,null,88032
88028,8600000US88028,31200,23971,88028,null,null,88028
88046,8600000US88046,43500,7445,88046,null,null,88046
88203,8600000US88203,36894,2985,88203,null,null,88203
88007,8600000US88007,45415,4132,88007,null,null,88007
88048,8600000US88048,34167,6260,88048,null,null,88048
88124,8600000US88124,47614,10078,88124,null,null,88124
88005,8600000US88005,44876,3331,88005,null,null,88005
88118,8600000US88118,51607,11545,88118,null,null,88118
88263,8600000US88263,-666666666,-222222222,88263,-,**,88263
88081,8600000US88081,24917,5029,88081,null,null,88081
88034,8600000US88034,-666666666,-222222222,88034,-,**,88034
88355,8600000US88355,-666666666,-222222222,88355,-,**,88355
88342,8600000US88342,-666666666,-222222222,88342,-,**,88342
94972,8600000US94972,-666666666,-222222222,94972,-,**,94972
