NAME,GEO_ID,B19013_001E,B19013_001M,NAME,B19013_001EA,B19013_001MA,zip code tabulation area
ZCTA5 93428,8600000US93428,66731,7352,ZCTA5 93428,,,93428
ZCTA5 93434,8600000US93434,44000,5492,ZCTA5 93434,,,93434
ZCTA5 93440,8600000US93440,65608,5191,ZCTA5 93440,,,93440
ZCTA5 93535,8600000US93535,42978,2713,ZCTA5 93535,,,93535
ZCTA5 93510,8600000US93510,92727,10008,ZCTA5 93510,,,93510
ZCTA5 93513,8600000US93513,57500,10543,ZCTA5 93513,,,93513
ZCTA5 93517,8600000US93517,49034,11573,ZCTA5 93517,,,93517
ZCTA5 93543,8600000US93543,41626,5677,ZCTA5 93543,,,93543
ZCTA5 93555,8600000US93555,60000,5579,ZCTA5 93555,,,93555
ZCTA5 93604,8600000US93604,81036,8812,ZCTA5 93604,,,93604
ZCTA5 93614,8600000US93614,60101,3880,ZCTA5 93614,,,93614
ZCTA5 93625,8600000US93625,53793,9632,ZCTA5 93625,,,93625
ZCTA5 93630,8600000US93630,46610,5176,ZCTA5 93630,,,93630
ZCTA5 93631,8600000US93631,63884,10042,ZCTA5 93631,,,93631
ZCTA5 93637,8600000US93637,49937,3505,ZCTA5 93637,,,93637
ZCTA5 93641,8600000US93641,2499,-333333333,ZCTA5 93641,"2,500-",***,93641
ZCTA5 93643,8600000US93643,53889,16646,ZCTA5 93643,,,93643
ZCTA5 93926,8600000US93926,52298,5688,ZCTA5 93926,,,93926
ZCTA5 93932,8600000US93932,34583,18683,ZCTA5 93932,,,93932
ZCTA5 93953,8600000US93953,130833,32494,ZCTA5 93953,,,93953
ZCTA5 93003,8600000US93003,74012,2900,ZCTA5 93003,,,93003
ZCTA5 93023,8600000US93023,71661,4610,ZCTA5 93023,,,93023
ZCTA5 93103,8600000US93103,83342,7060,ZCTA5 93103,,,93103
ZCTA5 93108,8600000US93108,134667,15148,ZCTA5 93108,,,93108
ZCTA5 93601,8600000US93601,56455,9612,ZCTA5 93601,,,93601
